date,val
26-03-2020,30.234
26-03-2020,9.084
26-03-2020,27.06
26-03-2020,27.06
26-03-2020,3.715
26-03-2020,11.108
26-03-2020,14.788
26-03-2020,4.61
26-03-2020,31.048
26-03-2020,25.997
26-03-2020,199.569
26-03-2020,23.722
26-03-2020,46.247
26-03-2020,13.535
26-03-2020,7.96
26-03-2020,8.065
26-03-2020,31.111
26-03-2020,8.033
26-03-2020,4.871
26-03-2020,115.5
26-03-2020,5.339
26-03-2020,51.363
26-03-2020,15.092
26-03-2020,5.86
26-03-2020,6.445
26-03-2020,15.167
26-03-2020,24.042
26-03-2020,12.34
26-03-2020,49.659
26-03-2020,17.067
26-03-2020,156.534
26-03-2020,54.992
26-03-2020,8.889
26-03-2020,4.555
26-03-2020,29.606
26-03-2020,31.413
26-03-2020,26.371
26-03-2020,87.945
26-03-2020,16.8
26-03-2020,10.154
26-03-2020,6.813
26-03-2020,56.386
26-03-2020,19.411
26-03-2020,9.227
26-03-2020,9.382
26-03-2020,261.482
26-03-2020,10.678
26-03-2020,7.857
26-03-2020,213.818
26-03-2020,16.1
27-03-2020,4.953
27-03-2020,59.37
27-03-2020,15.105
27-03-2020,265.517
27-03-2020,3.665
27-03-2020,8.522
27-03-2020,29.58
27-03-2020,8.02
27-03-2020,16.912
27-03-2020,11.676
27-03-2020,3.987
27-03-2020,23.196
27-03-2020,71.4
27-03-2020,50.75
27-03-2020,20.134
27-03-2020,12.712
27-03-2020,15.504
27-03-2020,14.736
27-03-2020,26.688
27-03-2020,29.14
27-03-2020,10.307
27-03-2020,24.979
27-03-2020,24.979
27-03-2020,3.889
27-03-2020,11.715
27-03-2020,16.119
27-03-2020,4.739
27-03-2020,31.027
27-03-2020,19.715
27-03-2020,155.577
27-03-2020,20.125
27-03-2020,46.386
27-03-2020,15.869
27-03-2020,8.15
27-03-2020,12.403
27-03-2020,33.89
27-03-2020,8.46
27-03-2020,6.142
27-03-2020,129.5
27-03-2020,4.782
27-03-2020,40.595
27-03-2020,12.909
27-03-2020,12.841
27-03-2020,5.683
27-03-2020,13.282
27-03-2020,24.241
27-03-2020,12.214
27-03-2020,55.371
27-03-2020,12.194
27-03-2020,136.287
27-03-2020,53.522
27-03-2020,9.435
27-03-2020,4.368
27-03-2020,35
27-03-2020,30.035
27-03-2020,28.441
27-03-2020,89.126
27-03-2020,19.679
27-03-2020,9.052
27-03-2020,6.545
27-03-2020,46.181
27-03-2020,19.659
27-03-2020,9.435
27-03-2020,14.522
27-03-2020,314.057
27-03-2020,9.702
27-03-2020,7.471
27-03-2020,262.224
27-03-2020,17.5
28-03-2020,4.795
28-03-2020,55.188
